postId,a1,a2,b1,b2,c1,c2,processed,found,missed
5085,107,109,112,80,50,54,2328,512,1816
3913,115,102,67,49,23,23,1488,379,1109
3711,123,124,97,73,36,37,1902,490,1412
3693,99,115,105,70,42,45,1752,476,1276
3589,84,82,76,49,25,20,1536,336,1200
4802,89,86,72,56,33,27,1578,363,1215
4561,156,162,150,102,69,70,8292,709,7583
4968,95,92,72,58,33,35,1758,385,1373
4336,156,182,175,103,76,61,3546,753,2793
4424,103,113,87,63,36,40,1806,442,1364
4332,86,108,79,48,40,43,1872,404,1468
5021,39,45,34,25,12,17,678,172,506
4220,196,210,216,171,119,118,5622,1030,4592
5186,71,63,50,29,20,16,918,249,669
4215,115,123,107,63,31,44,1878,483,1395
4200,102,105,99,64,33,41,1860,444,1416
4165,44,45,33,24,14,18,690,178,512
4163,80,71,75,53,30,26,1530,335,1195
5895,86,108,96,58,38,34,1920,420,1500
5793,62,68,54,39,16,21,1134,260,874
4013,86,96,71,55,23,28,1656,359,1297
5806,42,40,30,25,17,15,612,169,443
3940,200,231,193,137,79,97,4338,937,3401
5433,70,69,63,43,24,25,1356,294,1062
4974,146,163,123,83,51,53,2646,619,2027
3649,108,126,93,77,36,38,2250,478,1772
7126,60,49,42,28,16,13,822,208,614
8199,76,69,62,49,19,23,1356,298,1058
8200,65,65,56,47,28,24,1320,285,1035
6151,56,68,53,44,22,18,1008,261,747
3762,62,71,55,38,21,24,1338,271,1067
50,70,64,55,40,19,24,1200,272,928
5881,50,61,41,33,17,14,798,216,582
4522,74,72,68,38,31,24,1362,307,1055
7130,104,112,84,51,34,26,1416,411,1005
6420,41,35,29,21,17,11,702,154,548
5797,82,88,70,61,39,32,1686,372,1314
8441,43,43,37,19,12,15,714,169,545
8456,162,180,140,90,55,58,2802,685,2117
8457,88,97,84,54,37,33,2166,393,1773
2093,93,82,78,53,35,30,1476,371,1105
8547,89,83,82,57,36,29,1314,376,938
8545,103,91,87,50,27,25,1392,383,1009
6061,57,60,44,20,17,19,780,217,563
3791,101,115,104,71,35,40,1746,466,1280
7184,78,84,71,43,30,26,1500,332,1168
8699,35,35,30,20,17,14,630,151,479
8700,67,71,67,47,28,26,978,306,672
6521,62,56,41,29,20,17,1032,225,807
8701,87,89,78,53,30,36,1596,373,1223
3585,194,210,165,114,68,66,3738,817,2921
6460,48,47,36,29,14,14,816,188,628
6781,90,121,105,64,34,31,2112,445,1667
5194,85,104,71,48,31,35,1878,374,1504
5845,90,109,97,66,33,37,2088,432,1656
8859,81,76,65,34,22,20,1098,298,800
4457,47,57,37,28,20,19,894,208,686
8854,60,56,42,28,17,20,1008,223,785
8860,55,55,42,29,16,17,876,214,662
8919,47,50,39,25,15,13,894,189,705
8917,98,101,91,63,40,39,1578,432,1146
8918,98,101,91,63,40,39,1578,432,1146
9091,66,73,65,41,22,25,1374,292,1082
9092,54,58,48,31,18,16,900,225,675
8717,76,72,57,37,22,19,1650,283,1367
9097,50,48,44,32,19,13,756,206,550
9578,96,75,68,52,20,24,1260,335,925
9582,73,81,64,53,31,21,1482,323,1159
9584,63,65,61,49,28,26,1068,292,776
9580,52,55,47,38,18,27,1140,237,903
9626,93,89,58,39,24,23,1194,326,868
9625,100,102,84,57,34,30,1974,407,1567
9751,105,95,83,54,34,33,1902,404,1498
9769,117,123,104,65,31,42,1698,482,1216
9770,46,47,31,17,13,8,594,162,432
9771,49,51,39,29,19,17,624,204,420
9850,103,97,76,47,23,26,1752,372,1380
9851,74,61,49,25,12,14,858,235,623
9918,52,54,55,31,16,22,1056,230,826
9916,57,60,59,37,19,20,1158,252,906
10022,48,51,46,34,17,14,960,210,750
10073,84,84,79,71,32,33,1608,383,1225
10019,58,57,43,33,21,13,774,225,549
10020,66,59,38,23,12,15,888,213,675
10021,66,83,61,49,17,21,1356,297,1059
10026,67,76,57,41,25,24,840,290,550
10023,96,89,80,52,33,22,1266,372,894
10074,94,96,71,50,33,29,1248,373,875
10177,75,84,92,70,42,42,2004,405,1599
10201,149,150,135,77,43,38,2568,592,1976
10589,101,121,105,64,37,46,2358,474,1884
10249,131,134,106,66,44,39,2190,520,1670
10250,95,101,77,52,25,25,1368,375,993
10301,132,123,127,93,51,47,2874,573,2301
10257,93,83,65,39,21,28,1128,329,799
10303,89,85,66,40,25,29,1182,334,848
10308,75,87,77,46,28,23,1224,336,888
10457,90,85,80,53,30,29,1440,367,1073
10459,120,152,133,102,61,59,2796,627,2169
10455,90,92,84,48,41,28,1698,383,1315
10537,88,86,83,57,26,30,1470,370,1100
10540,81,85,79,50,32,29,1578,356,1222
10543,74,75,78,59,36,32,1566,354,1212
10546,54,58,42,35,23,18,936,230,706
10565,86,89,56,43,26,23,1308,323,985
10564,47,47,34,22,14,11,456,175,281
10570,75,76,65,41,25,22,1350,304,1046
10568,83,79,65,51,23,29,1698,330,1368
10573,33,38,39,20,14,14,696,158,538
10586,40,39,27,19,17,14,444,156,288
10535,87,101,79,53,27,32,1380,379,1001
10858,68,68,65,39,16,24,1230,280,950
10860,69,56,51,28,15,16,834,235,599
11387,45,38,30,12,9,7,528,141,387
11385,86,83,76,53,30,34,1554,362,1192
11389,46,47,40,23,17,18,798,191,607
11399,88,90,88,48,29,30,1362,373,989
11406,55,60,46,39,24,26,1038,250,788
11429,97,92,87,51,27,38,1614,392,1222
11618,84,73,65,37,26,17,1176,302,874
11624,38,29,26,16,9,11,606,129,477
11621,83,81,63,36,20,20,1146,303,843
11630,56,53,49,28,17,22,972,225,747
11628,62,59,46,31,21,11,1134,230,904
11698,65,59,45,33,20,21,990,243,747
11700,114,114,100,53,25,33,1710,439,1271
11853,31,29,28,12,9,7,492,116,376
11580,107,111,91,63,33,33,1860,438,1422
13188,38,35,31,25,15,11,600,155,445
11855,35,32,22,14,11,6,384,120,264
11859,58,60,57,39,23,20,1044,257,787
11857,84,82,82,59,29,28,1278,364,914
11861,54,58,42,33,19,18,822,224,598
11863,51,56,48,39,18,15,834,227,607
12062,62,63,62,40,19,26,978,272,706
12060,85,98,79,56,30,26,1494,374,1120
12129,79,83,68,56,41,33,1608,360,1248
12134,90,95,86,57,26,30,1536,384,1152
11695,80,77,69,53,30,30,1458,339,1119
12216,54,47,38,31,11,10,624,191,433
12218,56,58,47,29,20,22,720,232,488
12220,47,44,46,30,23,20,1032,210,822
12222,75,70,51,36,21,28,1254,281,973
12224,59,62,43,36,13,20,1122,233,889
12127,58,57,38,20,13,20,936,206,730
12312,49,54,44,32,15,12,630,206,424
12318,115,101,83,58,32,25,1866,414,1452
12316,42,38,34,28,21,18,678,181,497
12214,37,41,34,21,11,14,444,158,286
12311,70,62,62,46,21,21,1062,282,780
12593,68,60,44,35,18,11,1056,236,820
12594,46,40,42,35,19,18,804,200,604
12605,122,126,117,67,43,48,2124,523,1601
12597,70,84,68,53,33,36,1656,344,1312
12601,36,28,31,25,14,12,684,146,538
12603,75,92,70,50,36,44,1704,367,1337
12673,105,99,84,42,25,32,1416,387,1029
12665,28,24,12,15,12,11,396,102,294
12667,87,91,72,49,28,27,1362,354,1008
12669,115,112,98,61,31,38,1836,455,1381
12671,80,80,86,63,38,35,1518,382,1136
12675,129,130,104,64,31,42,1794,500,1294
12910,73,74,63,44,24,18,1338,296,1042
12740,27,33,23,17,15,10,384,125,259
12908,68,57,49,33,19,15,768,241,527
12912,98,98,101,62,42,35,1866,436,1430
12947,68,71,67,61,32,28,1392,327,1065
13002,54,69,69,46,32,37,1386,307,1079
12986,66,75,57,46,31,18,1284,293,991
12984,69,62,50,34,22,20,1056,257,799
13004,68,71,60,40,27,32,1338,298,1040
13010,46,45,48,34,18,15,954,206,748
12951,96,109,100,79,45,54,2622,483,2139
12943,92,94,101,63,40,39,1590,429,1161
12949,63,67,52,42,27,30,1128,281,847
13103,68,79,65,42,25,22,1098,301,797
13104,53,57,44,42,18,14,810,228,582
13102,52,54,43,35,17,16,960,217,743
13183,45,43,35,30,17,18,870,188,682
13187,41,40,32,27,15,15,816,170,646
13300,91,90,78,57,30,34,1578,380,1198
13290,56,62,61,39,31,21,1116,270,846
13302,63,61,56,41,23,20,1068,264,804
13294,52,62,49,28,9,18,852,218,634
13185,58,63,49,34,19,15,816,238,578
13296,45,57,52,37,24,18,1164,233,931
13292,68,72,51,37,23,21,1422,272,1150
13298,32,26,20,15,6,10,522,109,413
13354,38,37,36,17,13,17,582,158,424
13390,63,53,53,40,22,28,900,259,641
13388,78,101,80,57,39,37,2058,392,1666
13506,74,65,60,35,18,19,1008,271,737
13392,52,56,52,42,25,16,948,243,705
13394,43,36,32,25,16,8,642,160,482
13498,117,123,126,88,46,51,2688,551,2137
13568,62,56,39,29,13,16,1038,215,823
13500,49,56,45,35,16,16,960,217,743
13564,95,85,71,43,26,22,1512,342,1170
13566,41,36,37,16,9,17,630,156,474
13507,56,46,43,24,19,21,642,209,433
13572,67,67,63,38,22,18,966,275,691
13570,64,57,40,24,15,14,948,214,734
13701,68,75,74,51,27,29,1284,324,960
13703,84,67,66,34,19,19,1086,289,797
13705,71,61,49,30,18,13,1242,242,1000
13574,103,107,90,58,34,40,1458,432,1026
13722,36,40,38,26,15,12,804,167,637
13736,36,36,31,17,12,5,558,137,421
13724,90,92,68,37,26,23,1308,336,972
13726,87,97,62,52,30,33,1410,361,1049
13731,66,65,50,31,22,16,1266,250,1016
13729,48,57,46,38,12,18,858,219,639
14028,68,74,66,40,19,12,996,279,717
14193,77,72,55,48,30,29,1014,311,703
14026,63,66,49,26,10,17,750,231,519
14194,68,67,51,29,22,18,912,255,657
14208,97,82,81,48,28,27,1368,363,1005
14031,46,43,33,20,11,8,726,161,565
14192,65,59,40,25,16,11,816,216,600
14033,74,81,64,42,23,23,1458,307,1151
14294,85,73,48,32,23,24,990,285,705
14391,58,55,47,31,13,15,714,219,495
14392,56,56,37,21,14,12,822,196,626
14393,104,98,69,42,28,22,1350,363,987
14293,66,68,59,44,19,22,1068,278,790
14394,76,70,56,30,16,13,810,261,549
14708,92,86,77,54,18,38,2244,365,1879
14292,105,114,99,82,46,42,1968,488,1480
14707,83,69,55,45,30,20,1410,302,1108
14709,69,80,61,48,21,23,1368,302,1066
14706,81,53,53,27,14,15,864,243,621
14710,105,106,94,54,27,29,1620,415,1205
14712,119,116,95,43,31,36,1386,440,946
15055,140,130,107,53,37,39,1638,506,1132
14807,62,58,50,40,19,19,1062,248,814
